CODIGO,NOMBRE,UNIV TIPO,ESTADO LICENCIAMIENTO,PERIODO LICENC,DEPARTAMENTO,PROVINCIA,DISTRITO,LATITUD,LONGITUD
102,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,PRIVADA ASOCIATIVA,EN PROCESO,,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.3412179
103,UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,LIMA,-12.046374,-77.0427934
104,UNIVERSIDAD LE CORDON BLEU S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,MIRAFLORES,-12.046374,-77.0427934
105,UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,LICENCIADA,6,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.3412179
106,UNIVERSIDAD NACIONAL DE FRONTERA,PUBLICO,LICENCIADA,6,PIURA,SULLANA,SULLANA,-5.1782884,-80.6548882
107,UNIVERSIDAD DE LAMBAYEQUE S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.4776528,-79.9192702
108,UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,LA MOLINA,-12.046374,-77.0427934
109,UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,SAN BORJA,-12.046374,-77.0427934
110,UNIVERSIDAD PRIVADA DE LA SELVA PERUANA,PRIVADA SOCIETARIA,EN PROCESO,,LORETO,MAYNAS,IQUITOS,-4.2324729,-74.2179326
111,UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AREQUIPA,AREQUIPA,AREQUIPA,-16.4090474,-71.537451
112,UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AYACUCHO,HUAMANGA,AYACUCHO,-13.1638737,-74.2235641
113,UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.,PRIVADA SOCIETARIA,DENEGADA,6,LIMA,LIMA,JESÚS MARÍA,-12.046374,-77.0427934
114,UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,CUSCO,CUSCO,CUSCO,-13.53195,-71.9674626
